Country,Rank
Afghanistan,173
Albania,55
Algeria,81
Andorra,4
Angola,181
Antigua and Barbuda,86
Argentina,75
Armenia,104
Australia,32
Austria,9
Azerbaijan,109
Bahamas,98
Bahrain,42
Bangladesh,88
Barbados,46
Belarus,72
Belgium,21
Belize,69
Benin,97
Bhutan,124
Bolivia,126
Bosnia-Herzegovina,90
Botswana,169
Brazil,125
Brunei,40
Bulgaria,102
Burkina Faso,132
Burundi,143
Cambodia,174
Cameroon,164
Canada,30
Cape Verde,113
Central African Republic,189
Chad,178
Chile,33
People's Republic of China,144
Colombia,22
Comoros,118
Congo,166
Cook Islands,107
Costa Rica,36
Croatia,43
Cuba,39
Cyprus,24
Czech Republic,48
Democratic Republic of the Congo,188
Denmark,34
Djibouti,157
Dominica,35
Dominican Republic,51
Ecuador,111
Egypt,63
El Salvador,115
Equatorial Guinea,171
Eritrea,158
Estonia,77
Ethiopia,180
Federated States of Micronesia,123
Fiji,96
Finland,31
France,1
Gabon,139
Gambia,146
Georgia,114
Germany,25
Ghana,135
Greece,14
Grenada,85
Guatemala,78
Guinea,161
Guinea-Bissau,176
Guyana,128
Haiti,138
Honduras,131
Hungary,66
Iceland,15
India,112
Indonesia,92
Iran,93
Iraq,103
Ireland,19
Israel,28
Italy,2
Ivory Coast,137
Jamaica,53
Japan,10
Jordan,83
Kazakhstan,64
Kenya,140
Kiribati,142
Kuwait,45
Kyrgyzstan,151
Laos,165
Latvia,105
Lebanon,91
Lesotho,183
Liberia,186
Libya,87
Lithuania,73
Luxembourg,16
Macedonia,89
Madagascar,159
Malawi,185
Malaysia,49
Maldives,147
Mali,163
Malta,5
Marshall Islands,141
Mauritania,162
Mauritius,84
Mexico,61
Moldova,101
Monaco,13
Mongolia,145
Morocco,29
Mozambique,184
Myanmar,190
Namibia,168
Nauru,98
Nepal,150
Netherlands,17
New Zealand,41
Nicaragua,71
Niger,170
Nigeria,187
Niue,121
North Korea,167
Norway,11
Oman,8
Pakistan,122
Palau,82
Panama,95
Papua New Guinea,148
Paraguay,57
Peru,129
Philippines,60
Poland,50
Portugal,12
Qatar,44
Romania,99
Russia,130
Rwanda,172
Saint Kitts and Nevis,100
Saint Lucia,68
Saint Vincent and the Grenadines,74
Samoa,119
San Marino,3
Sao Tome and Principe,133
Saudi Arabia,26
Senegal,59
Seychelles,56
Sierra Leone,191
Singapore,6
Slovakia,62
Slovenia,38
Solomon Islands,80
Somalia,179
South Africa,175
South Korea[1],58
Spain,7
Sri Lanka,76
Sudan,134
Suriname,110
Swaziland,177
Sweden,23
Switzerland,20
Syria,108
Tajikistan,154
Tanzania,156
Thailand,47
Togo,152
Tonga,116
Trinidad and Tobago,67
Tunisia,52
Turkey,70
Turkmenistan,153
Tuvalu,136
United Arab Emirates,27
Uganda,149
United Kingdom,18
Ukraine,79
United States,37
Uruguay,65
Uzbekistan,117
Vanuatu,127
Venezuela,54
Vietnam,160
Yemen,120
Yugoslavia,106
Zambia,182
Zimbabwe,155